state,state_abbr,region,population_2023,land_area_sqmi,median_household_income,poverty_rate,population_density,ev_registrations_2023,public_ports,private_ports,total_ports,evs_per_1000,public_ports_per_100k,income_level,poverty_level,density_level,ev_adoption_level,charging_access_level,context_profile
South Dakota,SD,Midwest,919318,75807.98212024554,72794,11.4,12.126928778315072,1675,338,2,340,1.822002832534553,36.766385516219636,Middle,Middle,Low,Low,Low,Mixed sparse
Tennessee,TN,South,7126489,41224.34302763985,67651,13.8,172.87089318129034,33221,3095,373,3468,4.661622293951482,43.42952048336846,Low,High,Middle,Middle,Middle,Lower income pressured
Texas,TX,South,30503301,261258.8742375412,75778,13.7,116.75508090977173,230125,12457,1091,13548,7.544265455073207,40.838203052187694,Middle,High,Middle,Middle,Low,Mixed sparse
Utah,UT,West,3417734,82595.69923015895,93030,9.0,41.37907944185126,39998,3181,207,3388,11.703075780619557,93.0733638135677,High,Low,Low,High,High,Affluent dense
Vermont,VT,Northeast,647464,9217.272768832516,80626,9.9,70.24463919407361,7816,1450,99,1549,12.071713639677263,223.95067524989807,Middle,Low,Middle,High,High,Mixed sparse
Virginia,VA,South,8715698,39481.422605347114,89864,10.2,220.75440611959107,84936,5429,1020,6449,9.745174741024758,62.289904950814034,High,Low,High,High,Middle,Mixed sparse
Washington,WA,West,7812880,66455.45264208605,94553,10.3,117.56567278351702,152101,8821,964,9785,19.467981077400395,112.90330838308026,High,Low,Middle,High,High,Affluent dense
West Virginia,WV,South,1770071,24041.23733792822,55875,16.4,73.62645171375932,2758,567,53,620,1.5581295891520737,32.03261338104517,Low,High,Middle,Low,Low,Lower income pressured
Wisconsin,WI,Midwest,5910955,54168.095887436146,74671,10.6,109.12244381421941,24943,2318,123,2441,4.21979189487993,39.21532138207785,Middle,Middle,Middle,Low,Low,Mixed sparse
Wyoming,WY,West,584057,97088.54953136377,73558,10.4,6.015714549441534,1139,332,20,352,1.9501521255630871,56.843766961101394,Middle,Low,Low,Low,Middle,Mixed sparse
