context_profile,states,median_income,poverty_rate,population_density,evs_per_1000,public_ports_per_100k,mean_assignment_probability
Lower income pressured,16,64690.5625,14.825,158.49831380490318,4.20557364927623,40.5785105707551,0.9066541535001708
Mixed sparse,25,77997.32,11.26,168.53604383270755,6.589477734194464,68.2282048770274,0.9788531754781036
Affluent dense,10,97227.0,10.33,1475.0532214095588,15.218712797614412,111.74498724886709,0.9923714577992936
